session_key,ts,category,flag,scope,sector,lap_number,driver_id,message
11230,2026-03-07 08:06:21+02,Flag,CLEAR,Sector,4,,,CLEAR IN TRACK SECTOR 4
11230,2026-03-07 08:06:34+02,Flag,CLEAR,Sector,3,,,CLEAR IN TRACK SECTOR 3
11230,2026-03-07 08:06:44+02,Other,,,,,,Q3 WILL RESUME AT 17:10
11230,2026-03-07 08:07:16+02,Other,,,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 12 (ANT) WILL BE INVESTIGATED AFTER THE SESSION - UNSAFE CONDITION
11230,2026-03-07 08:10:00+02,Flag,GREEN,Track,,,,GREEN LIGHT - PIT EXIT OPEN
11230,2026-03-07 08:10:00.218+02,SessionStatus,,,,,,SESSION STARTED
11230,2026-03-07 08:13:37+02,Other,,,,,,CAR 12 (ANT) LAP DELETED - TRACK LIMITS AT TURN 3 LAP 16 17:11:59 (PIT)
11230,2026-03-07 08:19:47+02,Flag,CHEQUERED,Track,,,,CHEQUERED FLAG
11230,2026-03-07 08:19:47.194+02,SessionStatus,,,,,,SESSION FINISHED
11230,2026-03-07 08:19:55+02,Other,,,,,,FIRST CAR TO TAKE THE FLAG - CAR 6 (HAD)
11230,2026-03-07 08:22:57+02,Other,,,,,,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 23 (ALB), 31 (OCO), 27 (HUL), 5 (BOR) AND 1 (NOR) REVIEWED NO FURTHER INVESTIGATION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME"
11230,2026-03-07 08:22:59+02,Flag,DOUBLE YELLOW,Sector,2,,,DOUBLE YELLOW IN TRACK SECTOR 2
